Epoch,Train Loss,Validation Loss
1,0.0017649798231100403,0.0016332845348311035
2,0.001611717928263948,0.0015879125036766689
3,0.00155770860709124,0.0015447253656203223
4,0.0015206145073156715,0.001539724795813007
5,0.0014908795595924924,0.0015451374700163494
6,0.0014580520891229025,0.0015639923494956437
7,0.0014213602046216816,0.001593991179148663
8,0.0013842436461934397,0.0016020792842083916
9,0.0013529122904941873,0.0016304727011759365
10,0.0013277208966828414,0.0016522254155675474
11,0.001306026265675265,0.0016590393068355196
12,0.0012867952322987795,0.0016730816506252096
13,0.001268762096049543,0.0016724558499494288
14,0.0012538000676951906,0.0016681387864096399
15,0.0012397974631119214,0.0016957456228039209
16,0.0012290503060364206,0.0016654858965261274
17,0.001221062351582833,0.0017147938061045289
18,0.0012125943209818487,0.0016960560426863924
19,0.0012051327003881442,0.0016878237053356403
20,0.0011996520099405578,0.0016884291890656223
