Epoch,Train Loss,Validation Loss
1,0.0021416322447377558,0.0015163392023611311
2,0.001500509013613047,0.0014681374913973295
3,0.0014624735089648821,0.0014502496569162113
4,0.0014332833572781244,0.0014249084793340459
5,0.0014038578019441434,0.0014107310281469554
6,0.0013777357410270595,0.0013752617697055276
7,0.0013584963549918311,0.0013808401334764703
8,0.0013395350336452613,0.0013571645400188431
9,0.0013243054824314364,0.0013333443567088471
10,0.001309699728153646,0.00139328113597059
11,0.001299389639975062,0.001318737047564411
12,0.0012877273724801336,0.0013232088113351074
13,0.0012747506950172068,0.0013128092656771448
14,0.001263923164859756,0.0013213529695152632
15,0.001252111157004222,0.0013488718042416231
16,0.0012428465967431017,0.0013290422066909524
17,0.00123227826361252,0.0012933454515851141
18,0.0012212505368380876,0.0013201124114379948
19,0.0012090113684355061,0.001327049486073
20,0.001197175698350341,0.0013249363520085582
