Epoch,Train Loss,Validation Loss
1,0.03878194944942055,0.03729612800260308
2,0.03706684100851056,0.036574491324859695
3,0.03638558046361386,0.036267624815573565
4,0.03612053466663844,0.03623884978153991
5,0.035793697398497866,0.03625455661227344
6,0.035297578929559044,0.03622972908426206
7,0.0348130804527065,0.03647099406562717
8,0.034373084138988874,0.03655209148511233
9,0.03399673630505944,0.036657219256443406
10,0.03367699817146944,0.03678749613176211
11,0.03338924468571437,0.03706534447069334
12,0.03315717869298757,0.03717422765107919
13,0.03294752919191612,0.037180488245942875
14,0.03278396314972841,0.03726393948075394
15,0.032626004261527085,0.03777496877726901
16,0.03249150620242536,0.03750979435777572
17,0.03235779831158942,0.03758331580972119
18,0.03225889269100583,0.03756958382873001
19,0.03215093268936383,0.037618982932857564
20,0.032054729262987774,0.03759588187553248
