Epoch,Discriminator Loss,Generator Loss
1,0.6905569284146534,0.7871663259135352
2,0.6905204479821062,0.7873758083956253
3,0.6904924457487853,0.7875624717721617
4,0.690466529706826,0.7877537064218291
5,0.6904453308110076,0.7879308497848142
6,0.6904288852848293,0.7881072679867491
7,0.6904146705272693,0.7882815410261569
8,0.690406196186508,0.788430979171237
9,0.6903972374932201,0.7885510540814792
10,0.6903875067614127,0.7886629228430669
