Epoch,Train Loss,Validation Loss
1,0.004283684048945633,0.0030350662205138146
2,0.003001154060722981,0.0029400556310507898
3,0.0029249410320451295,0.0029075877133282226
4,0.0028655704772234825,0.002854232261007702
5,0.002805135035459942,0.0028162613155097347
6,0.0027533456118516444,0.0027556590067086073
7,0.0027144882615412706,0.002746887200307029
8,0.0026775550476279882,0.002713524196638535
9,0.0026465139230308324,0.0026649699976099618
10,0.0026171724228773283,0.0027960433263302885
11,0.002596888796466848,0.0026320583262556306
12,0.0025731618427289066,0.0026505204878610822
13,0.002547449591245664,0.0026194223024770904
14,0.0025256577821826374,0.0026330159128460187
15,0.0025013135484046336,0.0026907099071084646
16,0.00248342490280362,0.0026690414009982555
17,0.0024613122598623523,0.0025864787202896588
18,0.0024393030721244317,0.0026189114679995937
19,0.002415034736412159,0.0026676519612087706
20,0.0023918940807166307,0.002638504499727752
